"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2010,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",817140,"Tonnen (t)","Bundesamt für Energie"
2010,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.595119833831973,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2010,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3641864,"Tonnen (t)","Bundesamt für Energie"
2010,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.462744852883064,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2011,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",860135,"Tonnen (t)","Bundesamt für Energie"
2011,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.617737339090316,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2011,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3656235,"Tonnen (t)","Bundesamt für Energie"
2011,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.459634237130377,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2012,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",884025,"Tonnen (t)","Bundesamt für Energie"
2012,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.627602364091369,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2012,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3778110,"Tonnen (t)","Bundesamt für Energie"
2012,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.469969125743557,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2013,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",894526,"Tonnen (t)","Bundesamt für Energie"
2013,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.627500634848036,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2013,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3704130,"Tonnen (t)","Bundesamt für Energie"
2013,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.455073454804032,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2014,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",902421,"Tonnen (t)","Bundesamt für Energie"
2014,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.623928166963275,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2014,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3727348,"Tonnen (t)","Bundesamt für Energie"
2014,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.452476223240903,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2015,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",887454,"Tonnen (t)","Bundesamt für Energie"
2015,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.605182402906663,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2015,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3889161,"Tonnen (t)","Bundesamt für Energie"
2015,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.46704721412886,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2016,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",890382,"Tonnen (t)","Bundesamt für Energie"
2016,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.59838746640555,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2016,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",4010006,"Tonnen (t)","Bundesamt für Energie"
2016,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.476273197498679,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2017,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",882219,"Tonnen (t)","Bundesamt für Energie"
2017,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.586446867941285,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2017,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",4011026,"Tonnen (t)","Bundesamt für Energie"
2017,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.472768097612837,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2018,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",878022,"Tonnen (t)","Bundesamt für Energie"
2018,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.577278417428901,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2018,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",4041686,"Tonnen (t)","Bundesamt für Energie"
2018,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.473014597531262,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2019,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",891516,"Tonnen (t)","Bundesamt für Energie"
2019,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.579179159019668,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2019,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",4059376,"Tonnen (t)","Bundesamt für Energie"
2019,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.471689569398584,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2020,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",888424,"Tonnen (t)","Bundesamt für Energie"
2020,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.571913767209575,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2020,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",4071642,"Tonnen (t)","Bundesamt für Energie"
2020,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.46960797204249,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2021,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",789347,"Tonnen (t)","Bundesamt für Energie"
2021,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.504484035529718,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2021,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",4026665,"Tonnen (t)","Bundesamt für Energie"
2021,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.460780558775236,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2022,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",704513,"Tonnen (t)","Bundesamt für Energie"
2022,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.445903616974279,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2022,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",3853393,"Tonnen (t)","Bundesamt für Energie"
2022,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Verbrannte Abfallmenge",0.437121350910936,"Tonnen pro Person (t/Person)","Bundesamt für Energie"
2010,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",691590,"Megawattstunden (MWh)","Bundesamt für Energie"
2010,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.503682264825923,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2010,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",2999609,"Megawattstunden (MWh)","Bundesamt für Energie"
2010,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.381138237290496,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2011,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",700183,"Megawattstunden (MWh)","Bundesamt für Energie"
2011,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.502861973174298,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2011,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",2871843,"Megawattstunden (MWh)","Bundesamt für Energie"
2011,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.361026401876032,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2012,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",736345,"Megawattstunden (MWh)","Bundesamt für Energie"
2012,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.522758816534441,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2012,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",2931455,"Megawattstunden (MWh)","Bundesamt für Energie"
2012,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.364651464225917,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2013,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",754800,"Megawattstunden (MWh)","Bundesamt für Energie"
