"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2010,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1071000,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2010,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.119026450322294,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1095000,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.116427432216906,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1195000,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.127168245184633,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2013,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1255000,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2013,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.134917222102774,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2014,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1266000,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2014,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.136026646610078,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2015,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1270800,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2015,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.142834663369675,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2016,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1314300,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2016,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.147640979555156,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2017,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1377300,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2017,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.154579124579125,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2018,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1391300,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2018,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.15813821323028,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2019,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1438300,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2019,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.164867033470885,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2020,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",1448300,"MWh","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2020,"Kanton Zürich","EV3","Anteil erneuerbar erzeugter Strom an Gesamtverbrauch Strom","Erneuerbar erzeugter Strom",0.160672287552696,"Mwh [%]","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
