"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2010,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",14.9707538969095,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2011,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",15.4788199155185,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2012,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",15.4523413608229,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2013,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",15.2022463827748,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2014,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",14.1285751904317,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2015,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",14.056954715667,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2016,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",14.3869647284634,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2017,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",13.1652714463886,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2018,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",13.5414809384421,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2019,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",13.5990811176873,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2020,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",12.6939733520432,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
2021,"Schweiz","KG4","Treibhausgas-Fussabdruck","Treibhausgas",12.7898844251116,"Tonnen CO₂-Äquivalente (CO₂eq) pro Kopf","Umweltgesamtrechnung, BFS"
