"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Benzin",0,"Lastwagen (N2, N3) [Anz.]","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Benzin",0,"Prozent (%)","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Diesel",6,"Lastwagen (N2, N3) [Anz.]","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Diesel",1,"Prozent (%)","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Elektro",0,"Lastwagen (N2, N3) [Anz.]","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Elektro",0,"Prozent (%)","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Gas",0,"Lastwagen (N2, N3) [Anz.]","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Gas",0,"Prozent (%)","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Hybrid",0,"Lastwagen (N2, N3) [Anz.]","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
2015,"Kanton Zürich","KV4","Alternative Antriebe in der kantonalen Flotte bei neu beschafften Fahrzeugen","Hybrid",0,"Prozent (%)","Kanton Zürich: Monitoringbericht Beschaffung kantonale Fahrzeugflotte"
