"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Andere",416,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Andere",0.00228528736389905,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Benzin, Diesel",181544,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Benzin, Diesel",0.99730819517233,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Elektrisch",30,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Elektrisch",0.000164804377204259,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Gas",3,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Gas",1.64804377204259e-05,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Hybrid",41,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Hybrid",0.00022523264884582,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Andere",778,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Andere",0.00419483894622195,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Benzin, Diesel",184647,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Benzin, Diesel",0.995584096276406,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Elektrisch",31,"Landwirtschaftsfahrzeuge (Anzahl)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","LF4","Fahrzeugbestand - Antriebsart bei Landwirtschaftsfahrzeugen","Elektrisch",0.000167146538988278,"Prozent (%)","Strassenfahrzeugbestand MFZ, Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
