"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
"2005","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",23513,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.999065222009773,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",22,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0.000934777990227321,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",4033,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.999009165221699,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",4,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2005","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0.000990834778300718,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",26233,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.999276245619381,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",19,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0.00072375438061862,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",4550,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",1,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2006","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",28046,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.999679201568348,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",9,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0.000320798431652112,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",4963,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.998993558776167,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",5,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2007","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0.00100644122383253,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2008","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",29694,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2008","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.999596041203797,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2008","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",12,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2008","Schweiz","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossilfreier Treibstoff",0.000403958796202787,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2008","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",5263,"Anzahl Neuzulassungen Gütertransportfahrzeuge [Anz.]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
"2008","Kanton Zürich","M5","Anteil fossilfreie Gütertransportfahrzeuge bei Neuzulassungen Lieferwagen","fossiler Treibstoff",0.999430307633878,"Anzahl Neuzulassungen Gütertransportfahrzeuge [%]","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
