"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
"2010","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",7870134,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2010","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1373068,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2011","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",7954662,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2011","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1392396,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2012","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8039060,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2012","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1408575,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2013","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8139631,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2013","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1425538,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2014","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8237666,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2014","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1446354,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2015","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8327126,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2015","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1466424,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2016","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8419550,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2016","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1487969,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2017","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8484130,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2017","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1504346,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2018","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8544527,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2018","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1520968,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2019","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8606033,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2019","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1539275,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2020","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8670300,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2020","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1553423,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2021","Schweiz","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",8738791,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
"2021","Kanton Zürich","Q1","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung",1564662,"Anzahl Personen","Statistik der Bevölkerung und der Haushalte STATPOP (BFS)"
